"final_grade","age","address","studytime","schoolsup","famsup","paid","absences"
3,18,"U",2,"yes","no","no",6
3,17,"U",2,"no","yes","no",4
5,15,"U",2,"yes","no","yes",10
7.5,15,"U",3,"no","yes","yes",2
5,16,"U",2,"no","yes","yes",4
7.5,16,"U",2,"no","yes","yes",10
5.5,16,"U",2,"no","no","no",0
3,17,"U",2,"yes","yes","no",6
9.5,15,"U",2,"no","yes","yes",0
7.5,15,"U",2,"no","yes","yes",0
4.5,15,"U",2,"no","yes","yes",0
6,15,"U",3,"no","yes","no",4
7,15,"U",1,"no","yes","yes",2
5.5,15,"U",2,"no","yes","yes",2
8,15,"U",3,"no","yes","no",0
7,16,"U",1,"no","yes","no",4
7,16,"U",3,"no","yes","yes",6
5,16,"U",2,"yes","yes","no",4
2.5,17,"U",1,"no","yes","no",16
5,16,"U",1,"no","no","yes",4
7.5,15,"U",2,"no","no","no",0
7.5,15,"U",1,"no","yes","yes",0
8,16,"U",2,"no","no","no",2
6,16,"U",2,"no","yes","no",0
4,15,"R",3,"yes","yes","yes",2
4,16,"U",1,"no","yes","yes",14
5.5,15,"U",1,"no","yes","yes",2
7.5,15,"U",1,"no","no","yes",4
5.5,16,"U",2,"yes","yes","no",4
5.5,16,"U",2,"no","yes","yes",16
6,15,"U",2,"no","yes","yes",0
8.5,15,"U",2,"no","yes","no",0
8,15,"R",2,"no","yes","no",0
6,15,"U",2,"no","no","no",0
7.5,16,"U",1,"no","yes","yes",0
3,15,"U",1,"no","yes","no",0
9,15,"U",3,"no","yes","no",2
7.5,16,"R",3,"no","yes","no",7
5.5,15,"R",3,"yes","yes","yes",2
6.5,15,"R",1,"yes","yes","yes",8
5.5,16,"U",2,"no","yes","no",25
6,15,"U",1,"no","yes","no",8
9,15,"U",2,"no","yes","no",2
5.5,15,"U",1,"yes","yes","no",0
4.5,16,"U",2,"yes","no","no",14
3,15,"U",2,"yes","yes","yes",8
5.5,16,"U",2,"no","yes","no",12
10,16,"U",4,"no","no","no",4
7,15,"U",2,"no","yes","yes",2
3.5,15,"U",2,"yes","yes","no",2
6.5,16,"U",2,"no","yes","yes",2
6.5,15,"U",2,"no","yes","yes",2
5,15,"U",1,"no","no","no",6
5.5,15,"U",1,"yes","yes","yes",0
6.5,15,"U",1,"no","no","yes",6
5,16,"U",2,"no","no","yes",8
7.5,15,"U",2,"no","yes","yes",0
7.5,15,"U",2,"no","yes","no",4
4.5,15,"U",2,"yes","yes","no",2
8,16,"U",2,"no","yes","no",2
5.5,16,"R",2,"no","yes","no",6
5.5,16,"U",1,"yes","yes","no",6
4.5,16,"U",2,"yes","no","no",4
4.5,16,"U",3,"yes","yes","yes",2
5,15,"U",2,"yes","no","no",0
7.5,16,"U",2,"no","yes","no",2
6,15,"U",4,"no","yes","no",4
3,16,"U",4,"yes","yes","yes",4
4,15,"R",2,"yes","yes","yes",2
8,15,"R",4,"no","yes","no",12
7.5,16,"U",4,"no","yes","yes",0
5,15,"U",4,"no","no","no",0
2.5,15,"R",2,"yes","yes","no",2
7,16,"U",1,"no","no","no",2
5.5,16,"U",2,"yes","yes","yes",54
5,15,"U",2,"no","yes","yes",6
5,15,"U",4,"no","no","no",8
5.5,16,"U",4,"no","no","yes",0
5,17,"U",1,"yes","yes","no",2
2.5,16,"U",2,"no","yes","no",12
6,15,"U",1,"yes","yes","yes",2
5.5,15,"U",3,"yes","no","yes",4
3,15,"U",2,"no","yes","yes",10
7.5,15,"U",2,"no","no","yes",4
5,15,"U",2,"no","yes","no",2
4,15,"U",2,"no","no","yes",6
3,16,"U",2,"no","yes","no",4
7,15,"U",3,"no","yes","no",4
5,16,"U",2,"no","no","yes",12
3.5,16,"U",2,"no","yes","no",18
4,16,"U",3,"no","yes","yes",0
9,15,"U",1,"no","no","yes",4
3,16,"U",2,"yes","yes","no",4
5,16,"U",2,"no","yes","yes",0
7,15,"U",4,"no","yes","no",6
5,15,"R",4,"yes","yes","yes",2
7.5,16,"R",1,"yes","yes","no",2
5,16,"U",2,"no","yes","yes",2
7,16,"U",1,"no","no","no",6
4,16,"U",3,"yes","yes","yes",0
2.5,16,"U",1,"yes","yes","yes",14
8.5,16,"U",3,"no","yes","no",0
7,15,"U",1,"no","yes","no",4
3,15,"U",2,"yes","yes","yes",26
9,15,"U",2,"no","yes","yes",0
5.5,15,"U",4,"yes","no","no",10
4,15,"U",4,"yes","yes","yes",8
9,16,"U",3,"no","yes","no",2
